pupil_id,date,session,code,reason_recorded
P-1118,2026-09-14,PM,/,
P-1118,2026-09-16,AM,/,
P-1118,2026-09-16,PM,/,
P-1118,2026-09-17,AM,/,
P-1118,2026-09-17,PM,/,
P-1118,2026-09-18,AM,/,
P-1118,2026-09-18,PM,/,
P-1118,2026-09-21,AM,/,
P-1118,2026-09-21,PM,/,
P-1118,2026-09-22,AM,/,
P-1118,2026-09-22,PM,/,
P-1118,2026-09-23,AM,/,
P-1118,2026-09-23,PM,/,
P-1118,2026-09-24,AM,/,
P-1118,2026-09-24,PM,/,
P-1118,2026-09-25,AM,/,
P-1118,2026-09-25,PM,/,
P-1140,2026-09-07,AM,/,
P-1140,2026-09-07,PM,/,
P-1140,2026-09-08,AM,/,
P-1140,2026-09-08,PM,/,
P-1140,2026-09-10,AM,/,
P-1140,2026-09-10,PM,/,
P-1140,2026-09-11,AM,/,
P-1140,2026-09-11,PM,/,
P-1140,2026-09-14,AM,/,
P-1140,2026-09-14,PM,/,
P-1140,2026-09-16,AM,/,
P-1140,2026-09-16,PM,/,
P-1140,2026-09-17,AM,/,
P-1140,2026-09-17,PM,/,
P-1140,2026-09-18,AM,/,
P-1140,2026-09-18,PM,/,
P-1140,2026-09-21,AM,/,
P-1140,2026-09-21,PM,/,
P-1140,2026-09-22,AM,/,
P-1140,2026-09-22,PM,/,
P-1140,2026-09-23,AM,/,
P-1140,2026-09-23,PM,/,
P-1140,2026-09-24,AM,/,
P-1140,2026-09-24,PM,/,
P-1140,2026-09-25,AM,/,
P-1140,2026-09-25,PM,/,
P-1165,2026-09-07,AM,/,
P-1165,2026-09-07,PM,/,
P-1165,2026-09-08,AM,/,
P-1165,2026-09-08,PM,/,
P-1165,2026-09-10,AM,/,
P-1165,2026-09-10,PM,/,
P-1165,2026-09-11,AM,/,
P-1165,2026-09-11,PM,/,
P-1165,2026-09-14,AM,/,
P-1165,2026-09-14,PM,/,
P-1165,2026-09-16,AM,/,
P-1165,2026-09-16,PM,/,
P-1165,2026-09-17,AM,/,
P-1165,2026-09-17,PM,/,
P-1165,2026-09-18,AM,/,
P-1165,2026-09-18,PM,/,
P-1165,2026-09-21,AM,/,
P-1165,2026-09-21,PM,/,
P-1165,2026-09-22,AM,/,
P-1165,2026-09-22,PM,/,
P-1165,2026-09-23,AM,/,
P-1165,2026-09-23,PM,/,
P-1165,2026-09-24,AM,/,
P-1165,2026-09-24,PM,/,
P-1165,2026-09-25,AM,/,
P-1165,2026-09-25,PM,/,
